Age,Education,Years Employed,Income,Debt,Defaulted,DebtIncomeRatio
41,2,6,19,1.197,0.0,6.3
47,1,26,100,12.8,0.0,12.8
33,2,10,57,11.913,1.0,20.9
29,2,4,19,1.197,0.0,6.3
47,1,31,253,18.216,0.0,7.2
40,1,23,81,8.829,0.0,10.9
38,2,4,56,0.8959999999999999,0.0,1.6
42,3,0,64,4.224,0.0,6.6
26,1,5,18,2.79,0.0,15.5
47,3,23,115,4.6,0.0,4.0
44,3,8,88,5.368,1.0,6.1
34,2,9,40,0.64,0.0,1.6
24,1,7,18,1.169,0.0,6.5
46,1,6,30,5.28,0.0,17.6
28,3,2,20,1.88,1.0,9.4
24,1,1,16,1.472,0.0,9.2
29,1,1,17,0.425,0.0,2.5
43,4,1,26,2.7560000000000002,0.0,10.6
44,1,18,61,6.588,0.0,10.8
36,1,16,32,3.488,0.0,10.9
29,2,6,25,1.05,0.0,4.2
36,3,10,43,5.59,0.0,13.0
28,3,6,47,9.306000000000001,1.0,19.8
45,1,19,77,6.468,0.0,8.4
37,4,10,123,21.279,0.0,17.3
43,1,9,66,5.808,0.0,8.8
24,1,4,21,0.546,0.0,2.6
37,1,19,38,5.130000000000001,0.0,13.5
38,2,13,59,1.416,0.0,2.4
34,2,9,45,4.545,0.0,10.1
40,3,18,100,2.5,0.0,2.5
42,2,12,55,8.25,0.0,15.0
23,2,0,42,1.638,1.0,3.9
40,3,5,28,2.8,0.0,10.0
28,1,12,45,3.465,0.0,7.7
33,2,5,37,3.108,0.0,8.4
35,3,5,37,1.9979999999999998,1.0,5.4
37,1,0,18,2.322,1.0,12.9
22,1,1,18,0.792,0.0,4.4
39,3,16,126,8.568,0.0,6.8
20,1,4,14,1.358,1.0,9.7
48,3,17,113,13.559999999999999,0.0,12.0
28,2,5,34,8.092,0.0,23.8
37,5,9,177,10.443,0.0,5.9
48,1,3,27,5.7509999999999994,0.0,21.3
45,3,9,84,11.004,0.0,13.1
22,1,4,14,2.45,0.0,17.5
30,1,4,21,0.7349999999999999,0.0,3.5
28,1,3,19,0.779,0.0,4.1
29,2,10,61,3.782,0.0,6.2
47,1,22,81,4.455,0.0,5.5
36,1,11,33,10.725,0.0,32.5
24,1,3,19,4.636,1.0,24.4
56,1,19,66,2.178,0.0,3.3
29,3,5,70,13.93,1.0,19.9
34,1,2,25,3.15,1.0,12.6
